	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	Area	Attrib	Course	Credits	Grd	Group	Source Code Key	Subj	Term	Title
2	NO		HUM-ELECT	Undergrad Humanities Elect	Undergrad Humanities Elect	Undergrad Humanities Elect	Undergrad Humanities Elect																			
3	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	0.000	.00												
0	Area :	PhysicsBach-Social Sciences ( 3.000 credits ) - Met	PhysicsBach-Social Sciences ( 3.000 credits ) - Met	PhysicsBach-Social Sciences ( 3.000 credits ) - Met	PhysicsBach-Social Sciences ( 3.000 credits ) - Met	PhysicsBach-Social Sciences ( 3.000 credits ) - Met	PhysicsBach-Social Sciences ( 3.000 credits ) - Met	PhysicsBach-Social Sciences ( 3.000 credits ) - Met	PhysicsBach-Social Sciences ( 3.000 credits ) - Met	PhysicsBach-Social Sciences ( 3.000 credits ) - Met	PhysicsBach-Social Sciences ( 3.000 credits ) - Met	PhysicsBach-Social Sciences ( 3.000 credits ) - Met	PhysicsBach-Social Sciences ( 3.000 credits ) - Met	PhysicsBach-Social Sciences ( 3.000 credits ) - Met	PhysicsBach-Social Sciences ( 3.000 credits ) - Met	PhysicsBach-Social Sciences ( 3.000 credits ) - Met										
1	Met	Cond	Rule	Subj	Attrib	Low	High	Term	Subj	Crse	Title	Attrib	Credit	Grd	Srce											
2	Yes		SOC-SCI	Social Science Requirement	Social Science Requirement	Social Science Requirement	Social Science Requirement	202008	BUS	1301	Basic Economics		3.000	T	T											
3	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	3.000	.00												
0	Area :	PhysicsBach-HUM-or Social-Sci ( 3.000 credits ) - Met	PhysicsBach-HUM-or Social-Sci ( 3.000 credits ) - Met	PhysicsBach-HUM-or Social-Sci ( 3.000 credits ) - Met	PhysicsBach-HUM-or Social-Sci ( 3.000 credits ) - Met	PhysicsBach-HUM-or Social-Sci ( 3.000 credits ) - Met	PhysicsBach-HUM-or Social-Sci ( 3.000 credits ) - Met	PhysicsBach-HUM-or Social-Sci ( 3.000 credits ) - Met	PhysicsBach-HUM-or Social-Sci ( 3.000 credits ) - Met	PhysicsBach-HUM-or Social-Sci ( 3.000 credits ) - Met	PhysicsBach-HUM-or Social-Sci ( 3.000 credits ) - Met	PhysicsBach-HUM-or Social-Sci ( 3.000 credits ) - Met	PhysicsBach-HUM-or Social-Sci ( 3.000 credits ) - Met	PhysicsBach-HUM-or Social-Sci ( 3.000 credits ) - Met	PhysicsBach-HUM-or Social-Sci ( 3.000 credits ) - Met	PhysicsBach-HUM-or Social-Sci ( 3.000 credits ) - Met										
1	Met	Cond	Rule	Subj	Attrib	Low	High	Term	Subj	Crse	Title	Attrib	Credit	Grd	Srce											
2	Yes		COM-H/SS	HUM-SS-Elect	HUM-SS-Elect	HUM-SS-Elect	HUM-SS-Elect	202008	PSY	1411	Intro to Psychology		3.000	T	T											
3	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	3.000	.00												
0	Area :	PhysicsBach-Free-elective ( 12.000 credits ) - NOT MET	PhysicsBach-Free-elective ( 12.000 credits ) - NOT MET	PhysicsBach-Free-elective ( 12.000 credits ) - NOT MET	PhysicsBach-Free-elective ( 12.000 credits ) - NOT MET	PhysicsBach-Free-elective ( 12.000 credits ) - NOT MET	PhysicsBach-Free-elective ( 12.000 credits ) - NOT MET	PhysicsBach-Free-elective ( 12.000 credits ) - NOT MET	PhysicsBach-Free-elective ( 12.000 credits ) - NOT MET	PhysicsBach-Free-elective ( 12.000 credits ) - NOT MET	PhysicsBach-Free-elective ( 12.000 credits ) - NOT MET	PhysicsBach-Free-elective ( 12.000 credits ) - NOT MET	PhysicsBach-Free-elective ( 12.000 credits ) - NOT MET	PhysicsBach-Free-elective ( 12.000 credits ) - NOT MET	PhysicsBach-Free-elective ( 12.000 credits ) - NOT MET	PhysicsBach-Free-elective ( 12.000 credits ) - NOT MET										
1	Met	Cond	Rule	Subj	Attrib	Low	High	Term	Subj	Crse	Title	Attrib	Credit	Grd	Srce											
2	NO		CSD-FREE	Physics Free Electives	Physics Free Electives	Physics Free Electives	Physics Free Electives	202108	MTH	1702	Applied Calculus		3.000	T	T											
3	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	3.000	.00												
0																	PhysicsBach-Freshmen-Sem1		1101	3.0				CHM	202108	
1																	PhysicsBach-Freshmen-Sem1		1111	1.0				CHM	202108	
2																	PhysicsBach-Freshmen-Sem1		1050	1.0				PHY	202108	
3																	PhysicsBach-Freshmen-Sem2		1102	3.0				COM	202108	
4																	PhysicsBach-Freshmen-Sem2		1001	4.0				PHY	202108	
5																	PhysicsBach-Freshmen-Sem2		2091	1.0				PHY	202108	
6																	PhysicsBach-Sophomore-Sem1		1502	3.0				CSE	202108	
7																	PhysicsBach-Sophomore-Sem1		2001	4.0				MTH	202108	
0																			XXXX	0.0	T			CSE	Fall 2020	Non Trans - Digital Surv 1
1																			XXXX	0.0	T			CSE	Fall 2020	Non Trans - Digital Surv 2
2																			XXXX	0.0	T			CSE	Fall 2020	Non Trans - Interact Dsgn 1
3																			XXXX	0.0	T			CSE	Fall 2020	Non Trans - Interact Dsgn 2
4																			XXXX	0.0	T			CSE	Fall 2020	Non Trans - Intro Inter Media
0																							H - History			
1																							R - Currently Registered			
2																							T - Transfer Credit			
3																							P - Waiver			
